-7+9i
-7+11i
-1+9i
-1+11i
-7+-9i
-7+-11i
-1+-9i
-1+-11i
-5+9i
-5+11i
-3+9i
-3+11i
-5+-9i
-5+-11i
-3+-9i
-3+-11i
-9+7i
-9+5i
-9+1i
-9+3i
-9+-7i
-9+-5i
-9+-1i
-9+-3i
-11+7i
-11+5i
-11+1i
-11+3i
-11+-7i
-11+-5i
-11+-1i
-11+-3i
-1+7i
-1+5i
-1+1i
-1+3i
-1+-7i
-1+-5i
-1+-1i
-1+-3i
-3+7i
-3+5i
-3+1i
-3+3i
-3+-7i
-3+-5i
-3+-1i
-3+-3i
-7+7i
-7+5i
-7+1i
-7+3i
-7+-7i
-7+-5i
-7+-1i
-7+-3i
-5+7i
-5+5i
-5+1i
-5+3i
-5+-7i
-5+-5i
-5+-1i
-5+-3i
7+9i
7+11i
1+9i
1+11i
7+-9i
7+-11i
1+-9i
1+-11i
5+9i
5+11i
3+9i
3+11i
5+-9i
5+-11i
3+-9i
3+-11i
9+7i
9+5i
9+1i
9+3i
9+-7i
9+-5i
9+-1i
9+-3i
11+7i
11+5i
11+1i
11+3i
11+-7i
11+-5i
11+-1i
11+-3i
1+7i
1+5i
1+1i
1+3i
1+-7i
1+-5i
1+-1i
1+-3i
3+7i
3+5i
3+1i
3+3i
3+-7i
3+-5i
3+-1i
3+-3i
7+7i
7+5i
7+1i
7+3i
7+-7i
7+-5i
7+-1i
7+-3i
5+7i
5+5i
5+1i
5+3i
5+-7i
5+-5i
5+-1i
5+-3i
