-3+5i
-1+5i
-3+-5i
-1+-5i
-5+3i
-5+1i
-5+-3i
-5+-1i
-1+3i
-1+1i
-1+-3i
-1+-1i
-3+3i
-3+1i
-3+-3i
-3+-1i
3+5i
1+5i
3+-5i
1+-5i
5+3i
5+1i
5+-3i
5+-1i
1+3i
1+1i
1+-3i
1+-1i
3+3i
3+1i
3+-3i
3+-1i
